driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.1370087949945141,0.0
mongo,build,depth,0.5724837887051646,0.0
mongo,build,filter_count,-0.32168444978517147,0.0
mongo,exec,collection_size,0.5298920195534064,0.0
mongo,exec,depth,0.29764039991748775,0.0
mongo,exec,filter_count,-0.0021724033321650097,0.5226215674016815
mongo,total,collection_size,0.50594791285781,0.0
mongo,total,depth,0.33339198189386987,0.0
mongo,total,filter_count,-0.03906322306090488,1.3298620497366168e-30
neo4j,build,collection_size,-0.1417144487615416,0.0
neo4j,build,depth,-0.07434414781707341,4.960309899282007e-102
neo4j,build,filter_count,0.04224559760447027,4.213055062301256e-34
neo4j,exec,collection_size,0.393727825424919,0.0
neo4j,exec,depth,-0.06256738679737404,7.151811146094996e-76
neo4j,exec,filter_count,0.12333975100476034,9.687238163497886e-291
neo4j,total,collection_size,0.39331103863320915,0.0
neo4j,total,depth,-0.06351242881813304,4.0578102324761936e-78
neo4j,total,filter_count,0.12332444036633469,1.2541673091558536e-290
postgres,build,collection_size,-0.10195295827191897,5.421255450151463e-193
postgres,build,depth,0.2734875668317815,0.0
postgres,build,filter_count,0.05563468946206121,1.3048511744141059e-58
postgres,exec,collection_size,0.7082819618938587,0.0
postgres,exec,depth,0.4519290934713574,0.0
postgres,exec,filter_count,-0.17092792922341546,0.0
postgres,total,collection_size,0.7002776718393413,0.0
postgres,total,depth,0.4550068901972429,0.0
postgres,total,filter_count,-0.16942200395286594,0.0
