1067;1303;0.00070209;;997
1148;1103;0.001589169;;224.5756492
798;1860;1.10384E-06;;
940;1335;0.000572353;;
1121;1001;0.001776145;;
598;788;0.001152064;;
512;858;0.001466763;;
499;1110;0.0015652;;
575;1288;0.000767271;;
491;929;0.001696831;;
379;902;0.001624388;;
369;822;0.001311263;;
499;933;0.001705736;;
323;783;0.001128159;;
409;776;0.001094611;;
339;834;0.001365064;;
326;881;0.001554576;;
382;769;0.00106103;;
274;752;0.00097973;;
414;1087;0.001639353;;
452;1457;0.000218018;;
353;1118;0.001536419;;
305;897;0.001608762;;
276;805;0.001232615;;
320;1117;0.001540095;;
423;1173;0.001306708;;
312;1103;0.001589169;;
338;946;0.001731206;;
269;777;0.001099407;;
248;707;0.000771703;;
264;742;0.00093235;;
247;944;0.001727639;;
239;958;0.001749841;;
462;1054;0.00172012;;
321;1340;0.000553354;;
255;903;0.001627435;;
263;769;0.00106103;;
322;1367;0.000457211;;
330;1014;0.001771345;;
298;842;0.001399931;;
354;1054;0.00172012;;
234;745;0.000946515;;
207;734;0.000894822;;
220;823;0.001315808;;
288;856;0.001458642;;
407;1266;0.000866948;;
314;1200;0.001180646;;
291;999;0.001776357;;
274;993;0.001776145;;
276;1091;0.001627435;;
351;1098;0.00160556;;
392;1318;0.000639586;;
290;1145;0.001429679;;
224;1108;0.001572167;;
358;900;0.001618216;;
242;1357;0.000491527;;
233;1184;0.001255991;;
279;1495;0.000151968;;
388;1244;0.000970219;;
271;997;0.001776427;;
240;898;0.001611939;;
197;770;0.001065827;;
265;714;0.000803008;;
247;704;0.000758438;;
199;810;0.001255991;;
188;700;0.000740899;;
200;708;0.000776146;;
173;737;0.00090885;;
175;1294;0.000740899;;
201;849;0.001429679;;
203;727;0.000862328;;
207;808;0.001246662;;
312;1085;0.001645149;;
361;1095;0.001615091;;
264;976;0.001768678;;
250;981;0.001771924;;
193;822;0.001311263;;
262;1484;0.000169201;;
284;884;0.0015652;;
183;1089;0.001633448;;
174;708;0.000776146;;
214;869;0.001510098;;
210;762;0.00102748;;
268;812;0.001265289;;
246;949;0.001736311;;
418;1641;2.90991E-05;;
253;1073;0.001677562;;
250;1009;0.001773893;;
190;1073;0.001677562;;
151;850;0.001433866;;
263;1151;0.001404226;;
367;1155;0.001386959;;
271;1049;0.001729439;;
180;892;0.001592497;;
221;910;0.001648006;;
177;962;0.001754984;;
289;904;0.001630454;;
300;998;0.00177641;;
234;1047;0.00173294;;
