driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.5179789664197341,0.0
mongo,build,depth,0.3244298784165355,0.0
mongo,build,filter_count,-0.10915002445109703,9.284966567170243e-81
mongo,exec,collection_size,0.8595439962313857,0.0
mongo,exec,depth,-0.022866926711319385,5.738387032659013e-05
mongo,exec,filter_count,-0.017842093430193787,0.0016948838729148811
neo4j,build,collection_size,0.6554739932734873,0.0
neo4j,build,depth,0.15034186498648128,1.0562912812701894e-155
neo4j,build,filter_count,-0.06017630481040556,3.336424484816219e-26
neo4j,exec,collection_size,0.6626848537631828,0.0
neo4j,exec,depth,0.07996514768356847,5.1274754566953384e-45
neo4j,exec,filter_count,-0.07328874331478609,4.499672770628404e-38
postgres,build,collection_size,0.389080795533965,0.0
postgres,build,depth,0.2879818366589075,0.0
postgres,build,filter_count,-0.11833774613972614,2.3618559411229384e-95
postgres,exec,collection_size,0.724792389909577,0.0
postgres,exec,depth,0.23442463786175616,0.0
postgres,exec,filter_count,0.08940778066578495,1.1020014125701136e-55
