query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
collection 1 range filter,exec,mongo,neo4j,1875.0,2707.0,8.291425550652382e-62,-0.2501137094425669
collection 1 range filter,exec,mongo,postgres,1875.0,604.0,0.0,0.7422435972695494
collection 1 range filter,exec,neo4j,postgres,2707.0,604.0,0.0,0.9983330451870491
collection 3 range filter,exec,mongo,neo4j,1887.5,2390.0,8.864075693468008e-29,-0.16754502840253083
collection 3 range filter,exec,mongo,postgres,1887.5,556.5,0.0,0.7733005183190805
collection 3 range filter,exec,neo4j,postgres,2390.0,556.5,0.0,0.9923823942735436
collection all,exec,mongo,neo4j,1462.0,4260.5,3.6497911107961815e-296,-1.0
collection all,exec,mongo,postgres,1462.0,663.0,1.1957528427694677e-299,0.9989751662965878
collection all,exec,neo4j,postgres,4260.5,663.0,1.9418059988245536e-297,1.0
collection equality,exec,mongo,neo4j,1821.0,2117.0,7.092971231278985e-10,-0.09272597430271198
collection equality,exec,mongo,postgres,1821.0,595.0,0.0,0.6845917843611052
collection equality,exec,neo4j,postgres,2117.0,595.0,0.0,0.9504218578764936
collection get by id,exec,mongo,neo4j,477.0,1263.5,0.0,-0.9918822125229807
collection get by id,exec,mongo,postgres,477.0,344.0,0.0,0.6679306745423687
collection get by id,exec,neo4j,postgres,1263.5,344.0,0.0,1.0
collection id in list,exec,mongo,neo4j,842.0,1710.0,0.0,-0.9878545336322733
collection id in list,exec,mongo,postgres,842.0,576.0,0.0,0.832135321612508
collection id in list,exec,neo4j,postgres,1710.0,576.0,0.0,1.0
connection all,exec,mongo,neo4j,1170.0,2885.0,4.065419075185624e-304,-1.0
connection all,exec,mongo,postgres,1170.0,1268.0,1.530472825917384e-13,-0.19655355249204665
connection all,exec,neo4j,postgres,2885.0,1268.0,1.3636380153184114e-304,1.0
connection equality,exec,mongo,neo4j,2778.5,2069.5,1.0653560541024816e-08,0.08599540361964952
connection equality,exec,mongo,postgres,2778.5,1136.5,5.955007933193486e-84,0.29186360241309967
connection equality,exec,neo4j,postgres,2069.5,1136.5,2.653247692623064e-119,0.3491424303361103
connection filter near node and edge,exec,mongo,neo4j,16014.0,16166.5,0.2131308044863871,-0.018717724791726516
connection filter near node and edge,exec,mongo,postgres,16014.0,6657.0,1.427406549131636e-72,0.2708744613616777
connection filter near node and edge,exec,neo4j,postgres,16166.5,6657.0,5.7872885923938925e-109,0.33340637747773627
connection filter on edge property,exec,mongo,neo4j,18563.0,18764.0,0.5165160513453748,-0.009753174375179545
