driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.2906342388240908,0.0
mongo,build,depth,0.4264409080627922,0.0
mongo,build,filter_count,-0.010866051720198923,0.0015386611406465764
mongo,exec,collection_size,0.5706362418072749,0.0
mongo,exec,depth,0.21610236701054322,0.0
mongo,exec,filter_count,0.1173607218208288,1.1730107502643714e-264
mongo,total,collection_size,0.5362522075572521,0.0
mongo,total,depth,0.241758678015399,0.0
mongo,total,filter_count,0.10541788109597519,1.9507816078279076e-213
neo4j,build,collection_size,-0.010667297207598826,0.0021156344617214566
neo4j,build,depth,-0.06900934944615342,3.5820699493151234e-88
neo4j,build,filter_count,-0.04427349918388855,2.6678497293361657e-37
neo4j,exec,collection_size,0.4121066580776316,0.0
neo4j,exec,depth,-0.03814881984478603,3.690369330672949e-29
neo4j,exec,filter_count,0.187399997663595,0.0
neo4j,total,collection_size,0.41209517772238263,0.0
neo4j,total,depth,-0.03832993644795763,2.0117731412648252e-29
neo4j,total,filter_count,0.18718970484538475,0.0
postgres,build,collection_size,0.06576337122341444,2.0781457122338147e-79
postgres,build,depth,0.2928622638403454,0.0
postgres,build,filter_count,0.07091293429272136,4.701513745197349e-92
postgres,exec,collection_size,0.6554334566470207,0.0
postgres,exec,depth,0.3817020569829952,0.0
postgres,exec,filter_count,-0.046785994126893576,2.8193194182931023e-43
postgres,total,collection_size,0.6480601242032136,0.0
postgres,total,depth,0.3822707251952207,0.0
postgres,total,filter_count,-0.04514891384320501,1.8657261739730698e-40
