query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
collection 1 range filter,build,mongo,neo4j,26.0,10.0,0.0,0.865309834305954
collection 1 range filter,build,mongo,postgres,26.0,37.0,7.075833267339202e-198,-0.4583638188161045
collection 1 range filter,build,neo4j,postgres,10.0,37.0,0.0,-0.9295537629001553
collection 3 range filter,build,mongo,neo4j,28.0,12.0,0.0,0.7827795831178989
collection 3 range filter,build,mongo,postgres,28.0,43.0,0.0,-0.6271583181438151
collection 3 range filter,build,neo4j,postgres,12.0,43.0,0.0,-0.9309920270372674
collection all,build,mongo,neo4j,68.0,24.0,1.3822593191469285e-297,1.0
collection all,build,mongo,postgres,68.0,55.0,1.6028684078707813e-65,0.46356800262612385
collection all,build,neo4j,postgres,24.0,55.0,2.8370232541182357e-267,-0.9534963068501369
collection all only,build,mongo,neo4j,36.0,17.0,4.93833406172423e-296,0.9998902893771765
collection all only,build,mongo,postgres,36.0,40.0,1.4697148547441816e-32,-0.3248415757661376
collection all only,build,neo4j,postgres,17.0,40.0,1.3141416654821294e-300,-0.9999653193016025
collection get by id,build,mongo,neo4j,16.0,8.0,1.3945143806683528e-239,0.5072723196431338
collection get by id,build,mongo,postgres,16.0,24.0,0.0,-0.758620672036624
collection get by id,build,neo4j,postgres,8.0,24.0,0.0,-0.8432549196357443
collection id in list,build,mongo,neo4j,25.0,12.0,0.0,0.6966629164460655
collection id in list,build,mongo,postgres,25.0,33.0,4.747390138070395e-297,-0.5636542925385185
collection id in list,build,neo4j,postgres,12.0,33.0,0.0,-0.8801088306909434
collection id in list only,build,mongo,neo4j,24.0,10.0,0.0,0.9250046561360177
collection id in list only,build,mongo,postgres,24.0,29.0,4.457883145972029e-272,-0.5385082711892876
collection id in list only,build,neo4j,postgres,10.0,29.0,0.0,-0.9858850121585369
collection int equality,build,mongo,neo4j,40.0,7.0,0.0,0.9999985964175194
collection int equality,build,mongo,postgres,40.0,24.0,5.211496273939233e-148,0.39108172669936797
collection int equality,build,neo4j,postgres,7.0,24.0,0.0,-1.0
collection string equality,build,mongo,neo4j,21.0,8.0,0.0,0.992616251017219
collection string equality,build,mongo,postgres,21.0,24.0,6.207453869753537e-225,-0.4832021867607784
collection string equality,build,neo4j,postgres,8.0,24.0,0.0,-1.0
collection string equality multiple,build,mongo,neo4j,24.0,8.0,0.0,0.9990942171877409
collection string equality multiple,build,mongo,postgres,24.0,24.0,1.4355699978703069e-49,-0.2234248009597045
collection string equality multiple,build,neo4j,postgres,8.0,24.0,0.0,-1.0
collection string in list,build,mongo,neo4j,32.0,10.0,0.0,0.9891202116022468
collection string in list,build,mongo,postgres,32.0,27.0,0.07069351660398898,0.02727142863984154
collection string in list,build,neo4j,postgres,10.0,27.0,0.0,-0.9999910589392372
connection all,build,mongo,neo4j,1353.5,14.0,5.118725480193803e-277,1.0
connection all,build,mongo,postgres,1353.5,102.0,1.804633497074234e-281,1.0
connection all,build,neo4j,postgres,14.0,102.0,6.212305343053288e-302,-1.0
connection all only,build,mongo,neo4j,863.0,13.0,9.520837857436925e-283,1.0
connection all only,build,mongo,postgres,863.0,45.0,9.4840667381633e-290,1.0
connection all only,build,neo4j,postgres,13.0,45.0,8.629734470475069e-298,-1.0
connection equality,build,mongo,neo4j,581.0,9.0,0.0,1.0
connection equality,build,mongo,postgres,581.0,42.0,0.0,1.0
connection equality,build,neo4j,postgres,9.0,42.0,0.0,-1.0
connection filter near node and edge,build,mongo,neo4j,290.0,15.0,0.0,1.0
connection filter near node and edge,build,mongo,postgres,290.0,47.0,0.0,1.0
