driver,phase,model_type,n_rows,n_query_shapes,in_sample_r2,kfold_r2_mean,kfold_r2_std,group_kfold_r2_mean,group_kfold_r2_std
mongo,build,linear,144020,59,0.26177613128324995,0.26168989893260736,0.0033753145714244866,-27.115215171098203,25.192880613160995
mongo,build,forest,144020,59,0.9919762250158919,0.9919511954316051,0.0010277130150504804,-60.90397579439904,122.82793592061905
mongo,exec,linear,148561,59,0.44610831881990953,0.445900027667831,0.0020034729621187437,0.21462217907902312,0.10117339342046465
mongo,exec,forest,148561,59,0.991788702859747,0.9917812391019846,0.0003846944630168125,0.7493236246846102,0.255466032174535
mongo,total,linear,148570,59,0.36322996362780047,0.3628786887695354,0.0035655536600517432,-0.43312722431917267,0.6582097526222102
mongo,total,forest,148570,59,0.9945431358574072,0.9945316273110109,9.310978653747757e-05,0.6905468655887235,0.2870505329441679
neo4j,build,linear,140778,59,0.35816716954660854,0.3580533046749756,0.004554087447525347,0.15719903874205626,0.19059967263518784
neo4j,build,forest,140778,59,0.8053226398330362,0.8050051436657817,0.0017165132126064043,0.43101173940294035,0.2532584840972744
neo4j,exec,linear,148873,59,0.5760405665601156,0.5759560163003569,0.001961220538082358,0.5070258872903641,0.08840286997497118
neo4j,exec,forest,148873,59,0.923628529762397,0.9195884046301244,0.009317915528187844,0.6219000362036425,0.1745155398801238
neo4j,total,linear,148863,59,0.5754399309511231,0.5753608281584173,0.002072860371010457,0.5232882369290577,0.0747107274673358
neo4j,total,forest,148863,59,0.9233351579648599,0.9215669365623829,0.004587964263271008,0.6239556506406114,0.17741342293628512
postgres,build,linear,140527,59,0.3927038038100592,0.39257321310727306,0.0026102103565725007,0.2015130951129298,0.1781119330416941
postgres,build,forest,140527,59,0.5978847803173285,0.5979517868907104,0.00313250814926778,-0.019054136878013363,0.22188399871029255
postgres,exec,linear,148787,59,0.7240378298479262,0.7239403500379303,0.002153026634384113,0.695700364839755,0.05948420956647393
postgres,exec,forest,148787,59,0.9714812087360155,0.971452234100566,0.0006646657588779421,0.8549363372108921,0.07503607873596653
postgres,total,linear,148840,59,0.7231971380130972,0.7231559801556273,0.00258705927446382,0.6990092173044671,0.05466463084358881
postgres,total,forest,148840,59,0.9703993030383665,0.9703747745707769,0.0008145987454567688,0.8514702954569259,0.06401007700067872
