driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection get one by id,build,935.0,31.756149732620322,31.0,10.164830103194381,0.320090130219815,14.0,45.0,50.0,58.0,61.0
neo4j,collection get one by id,build,924.0,33.40692640692641,32.0,10.513727067425519,0.31471698232153617,15.0,48.0,53.0,60.0,62.0
postgres,collection get one by id,build,917.0,56.911668484187565,53.0,17.7035216301254,0.3110701566418524,31.0,83.0,91.0,105.0,110.0
mongo,collection get one by id,exec,923.0,721.9945828819068,706.0,123.68742955905701,0.1713135146601065,468.0,902.8000000000001,947.6999999999999,1028.4599999999998,1079.0
neo4j,collection get one by id,exec,939.0,1439.5058572949947,1438.0,227.36694536392125,0.15794791261993973,905.0,1742.2,1845.4999999999995,2019.3400000000001,2067.0
postgres,collection get one by id,exec,925.0,483.86486486486484,478.0,88.90605058873008,0.18374148867692638,288.0,600.6,655.8,722.0,742.0
mongo,collection get one by id,total,926.0,755.3747300215982,738.0,132.58765573246154,0.17552567019109905,483.0,945.5,990.75,1087.5,1154.0
neo4j,collection get one by id,total,935.0,1472.5358288770053,1471.0,232.2190147772677,0.15770007780005194,921.0,1784.6,1881.1999999999998,2058.5999999999995,2115.0
postgres,collection get one by id,total,926.0,543.7170626349892,534.0,103.19176517747742,0.18978945534168865,324.0,684.0,740.0,823.0,837.0
mongo,connection get one by id,build,943.0,79.63838812301167,84.0,16.661602957409205,0.2092157230966708,50.0,97.0,103.89999999999998,119.58000000000004,133.0
neo4j,connection get one by id,build,938.0,33.63006396588486,35.0,7.083932862362923,0.21064286019643122,20.0,42.0,44.0,52.629999999999995,56.0
postgres,connection get one by id,build,888.0,62.3445945945946,56.0,16.601929841709897,0.26629301144175405,43.0,88.0,97.0,110.0,112.0
mongo,connection get one by id,exec,944.0,712.0985169491526,714.0,118.19714931403234,0.16598426552048587,510.0,871.7,904.8499999999999,997.9899999999996,1084.0
neo4j,connection get one by id,exec,937.0,1516.478121664888,1507.0,181.47357357912804,0.11966778220307893,1020.0,1765.4,1832.1999999999998,1944.56,1986.0
postgres,connection get one by id,exec,947.0,2050.4625131995776,2042.0,262.64140743570545,0.1280888608033488,1624.0,2374.8,2418.0,2591.16,2918.0
mongo,connection get one by id,total,943.0,792.255567338282,788.0,121.94304215063117,0.1539188201104344,567.0,952.0,984.0,1106.3200000000002,1159.0
neo4j,connection get one by id,total,939.0,1552.084132055378,1538.0,185.18397569592707,0.1193131041489958,1045.0,1802.2,1875.1,1996.48,2069.0
postgres,connection get one by id,total,946.0,2118.3541226215643,2122.5,264.2377283999583,0.12473727861560348,1687.0,2437.5,2486.0,2671.249999999999,3023.0
mongo,sub collection get one by id,build,908.0,15.07488986784141,15.0,2.0902745052150236,0.138659354963124,10.0,18.0,19.0,21.0,21.0
neo4j,sub collection get one by id,build,926.0,25.396328293736502,24.0,4.520649022549713,0.17800403941323442,16.0,33.0,34.0,37.0,39.0
postgres,sub collection get one by id,build,825.0,55.78787878787879,55.0,5.73313046570075,0.10276659715813403,45.0,63.0,66.0,73.0,75.0
mongo,sub collection get one by id,exec,942.0,787.1464968152866,771.5,122.44513739668463,0.1555557166195683,557.0,956.8,1009.0,1108.77,1175.0
neo4j,sub collection get one by id,exec,942.0,1269.744161358811,1273.5,197.4869837728816,0.15553289377723287,761.0,1539.9,1599.0,1722.8000000000006,1780.0
postgres,sub collection get one by id,exec,944.0,1269.0572033898304,1163.0,232.53842180395975,0.1832371473743003,980.0,1642.0,1716.0,1823.9499999999978,1971.0
mongo,sub collection get one by id,total,942.0,803.4129511677282,789.5,123.71410582818315,0.15398570019112798,570.0,974.0,1027.0,1127.3600000000001,1190.0
neo4j,sub collection get one by id,total,943.0,1296.0583244962884,1301.0,199.87443455397818,0.1542171604288404,774.0,1565.8000000000002,1626.8,1757.020000000001,1815.0
postgres,sub collection get one by id,total,943.0,1331.323435843054,1231.0,235.33664361977432,0.17676894831401246,1029.0,1700.0,1772.9,1904.500000000001,2090.0
