driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.7686264489294723,0.0
mongo,build,depth,-0.22586293041301547,7.080190192343897e-28
mongo,build,filter_count,-0.09799994508794674,2.621606405915595e-06
mongo,exec,collection_size,0.8621271456915409,0.0
mongo,exec,depth,-0.04176281061233671,0.045590046356020375
mongo,exec,filter_count,-0.02670940840749333,0.20116515284197026
mongo,total,collection_size,0.8624148064520764,0.0
mongo,total,depth,-0.14571003715666134,2.366052362991003e-12
mongo,total,filter_count,-0.06712895726169604,0.0012982583011854057
neo4j,build,collection_size,0.14151947054917716,3.77064612050502e-11
neo4j,build,depth,-0.41909797235912466,8.547094443251067e-93
neo4j,build,filter_count,0.28199803049046573,7.585237140270642e-41
neo4j,exec,collection_size,0.6487126589006571,3.5819623528141504e-271
neo4j,exec,depth,0.00013731086807950625,0.9947842141698181
neo4j,exec,filter_count,0.12875744809849166,7.484432131370201e-10
neo4j,total,collection_size,0.6491610983238227,1.5058835445063176e-271
neo4j,total,depth,-0.0015011004771805306,0.9430409508023947
neo4j,total,filter_count,0.13050077161423893,4.427073895194203e-10
postgres,build,collection_size,-0.06634482413828156,0.0017833865234672453
postgres,build,depth,-0.08472275336961778,6.543489768341092e-05
postgres,build,filter_count,0.17582866979428483,7.716513651172745e-17
postgres,exec,collection_size,0.6366284757621244,3.363292087516493e-255
postgres,exec,depth,0.2181206920064943,1.4562666527297396e-25
postgres,exec,filter_count,0.051356075316424804,0.014995422734116174
postgres,total,collection_size,0.6196245658850036,1.3558553152111455e-237
postgres,total,depth,0.20408275766638181,1.7691815897091577e-22
postgres,total,filter_count,0.06228938880042426,0.003191844135244564
