form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted;simple_predicted
-9175951337406965087;100;postgres;978.4547368421053;3;postgres;983.1163312606708;2593.525779941703;1504.323547894828;neo4j;postgres
-9175951337406965087;100;postgres;978.4547368421053;3;postgres;983.1163312606708;2593.525779941703;1504.323547894828;neo4j;postgres
-9175951337406965087;1000;postgres;1195.6336842105263;3;postgres;1268.9043048066358;3747.7773509015096;1720.194998684677;neo4j;postgres
-9175951337406965087;1000;postgres;1195.6336842105263;3;postgres;1268.9043048066358;3747.7773509015096;1720.194998684677;neo4j;postgres
-9018611685019991181;100;neo4j;1404.705035971223;3;neo4j;2485.669366232006;3881.4100034495004;1694.0386743420427;neo4j;neo4j
-9018611685019991181;100;neo4j;1404.705035971223;3;neo4j;2485.669366232006;3881.4100034495004;1694.0386743420427;neo4j;neo4j
-9018611685019991181;100;neo4j;1404.705035971223;3;neo4j;2485.669366232006;3881.4100034495004;1694.0386743420427;neo4j;neo4j
-9018611685019991181;100;neo4j;1404.705035971223;3;neo4j;2485.669366232006;3881.4100034495004;1694.0386743420427;neo4j;neo4j
-8980828898780742638;1000;neo4j;1842.5590200445433;3;neo4j;2283.8863180185726;6355.127367498638;1941.977974771854;neo4j;postgres
-8878398820989998606;500;neo4j;1356.9894514767932;3;neo4j;2359.050545100208;2968.4962657396914;1365.865271477799;neo4j;mongo
-8878398820989998606;500;neo4j;1356.9894514767932;3;neo4j;2359.050545100208;2968.4962657396914;1365.865271477799;neo4j;mongo
-8878398820989998606;1000;neo4j;1420.4409282700421;3;neo4j;2517.8216415146326;3317.295741637935;1422.274786807821;neo4j;mongo
-8878398820989998606;1000;neo4j;1420.4409282700421;3;neo4j;2517.8216415146326;3317.295741637935;1422.274786807821;neo4j;mongo
-8851419415559083766;1000;postgres;2000.7357142857143;3;postgres;1848.4329682139748;5145.7703408499765;1908.7382917077837;neo4j;postgres
-8851419415559083766;1000;postgres;2000.7357142857143;3;postgres;1848.4329682139748;5145.7703408499765;1908.7382917077837;neo4j;postgres
-8851419415559083766;1000;postgres;2000.7357142857143;3;postgres;1848.4329682139748;5145.7703408499765;1908.7382917077837;neo4j;postgres
