driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection collect 1 filter,build,147.0,77.85714285714286,76.0,22.138109458825948,0.284342690296847,43.0,107.4,119.89999999999992,134.61999999999998,139.0
neo4j,collection collect 1 filter,build,149.0,48.89261744966443,50.0,17.208632709320288,0.35196791677264555,25.0,72.0,77.0,84.52000000000001,105.0
postgres,collection collect 1 filter,build,145.0,86.99310344827586,85.0,32.57096878606523,0.3744086312017963,45.0,131.6,139.79999999999998,176.00000000000006,187.0
mongo,collection collect 1 filter,exec,150.0,2825.733333333333,2878.5,1444.5931902991279,0.5112277132658641,1088.0,4617.2,4874.4,5048.59,5206.0
neo4j,collection collect 1 filter,exec,148.0,5012.939189189189,4724.5,1379.7223975264274,0.2752322231440411,3048.0,6783.8,7427.250000000001,8388.01,9454.0
postgres,collection collect 1 filter,exec,144.0,760.0833333333334,731.0,208.5209150852068,0.274339544021761,438.0,1110.8000000000002,1208.7499999999998,1275.98,1299.0
mongo,collection collect 1 filter,total,150.0,2906.213333333333,2999.5,1428.244454790503,0.4914451524975809,1159.0,4685.7,4931.1,5108.849999999999,5296.0
neo4j,collection collect 1 filter,total,148.0,5063.0,4772.5,1394.709142379419,0.27547089519640905,3082.0,6855.3,7498.6,8475.62,9525.0
postgres,collection collect 1 filter,total,146.0,860.3630136986301,820.5,203.8658409477609,0.2369532833255562,521.0,1185.0,1298.0,1369.75,1386.0
mongo,collection collect 2 filter,build,141.0,57.716312056737586,53.0,17.691937728458104,0.30653271316202907,25.0,84.0,93.0,98.39999999999998,105.0
neo4j,collection collect 2 filter,build,137.0,48.40875912408759,48.0,10.452662723331727,0.21592502911586953,25.0,65.0,67.19999999999999,72.4799999999999,75.0
postgres,collection collect 2 filter,build,145.0,79.46206896551725,78.0,25.11474243061875,0.31605950810967876,40.0,115.19999999999999,124.79999999999998,142.08000000000004,154.0
mongo,collection collect 2 filter,exec,150.0,2801.173333333333,2935.5,1562.336856435062,0.5577437275457411,849.0,4556.0,4783.0,5098.57,5218.0
neo4j,collection collect 2 filter,exec,143.0,4031.1188811188813,3881.0,807.6316400745104,0.20034924890390318,2833.0,5080.8,5392.400000000001,6187.4400000000005,6512.0
postgres,collection collect 2 filter,exec,149.0,726.8456375838927,670.0,276.4979772379024,0.38040811272804664,369.0,1195.8000000000002,1284.3999999999999,1374.4000000000008,1415.0
mongo,collection collect 2 filter,total,150.0,2865.4666666666667,3015.0,1547.8419341921992,0.54017097884889,899.0,4625.3,4828.3,5162.219999999999,5264.0
neo4j,collection collect 2 filter,total,143.0,4084.916083916084,3925.0,811.4700231938964,0.19865035328117803,2876.0,5138.4,5441.3,6249.140000000001,6565.0
postgres,collection collect 2 filter,total,149.0,812.751677852349,732.0,270.5644726593073,0.33289930987809074,440.0,1277.0,1340.8,1455.2800000000007,1489.0
mongo,collection collect 3 filter,build,135.0,48.977777777777774,47.0,8.122629772915955,0.16584316686988113,29.0,60.60000000000001,65.0,71.32,72.0
neo4j,collection collect 3 filter,build,148.0,48.304054054054056,48.0,9.6986279861321,0.2007828985798784,31.0,60.0,61.0,69.53,72.0
postgres,collection collect 3 filter,build,146.0,70.43835616438356,71.0,19.30516193351324,0.2740717271774536,43.0,97.0,100.75,113.30000000000007,134.0
mongo,collection collect 3 filter,exec,150.0,2715.0133333333333,2655.0,1578.0301797314196,0.5812237311534699,873.0,4450.3,4690.1,5143.139999999999,5324.0
neo4j,collection collect 3 filter,exec,144.0,3757.9513888888887,3644.0,600.894663166377,0.1598995306174099,2815.0,4646.8,4876.549999999999,5124.5,5581.0
postgres,collection collect 3 filter,exec,141.0,680.8510638297872,665.0,239.11987239428717,0.3512073125791093,383.0,1039.0,1207.0,1322.0,1325.0
mongo,collection collect 3 filter,total,150.0,2769.173333333333,2701.0,1572.6160556043294,0.5679009098759905,914.0,4499.5,4737.0,5182.299999999999,5365.0
neo4j,collection collect 3 filter,total,144.0,3807.5486111111113,3688.0,601.6279061684015,0.1580092515201889,2848.0,4687.900000000001,4925.2,5174.66,5625.0
postgres,collection collect 3 filter,total,139.0,749.1294964028777,717.0,235.214081782076,0.31398320705767424,437.0,1128.2,1255.2,1372.3400000000001,1388.0
mongo,collection collect all,build,48.0,392.5,363.0,118.28598593276004,0.3013655692554396,239.0,549.8000000000001,584.75,706.9900000000001,746.0
neo4j,collection collect all,build,46.0,74.67391304347827,73.0,15.034854834795766,0.2013401229696085,50.0,94.5,101.5,108.84999999999998,112.0
postgres,collection collect all,build,48.0,149.5625,137.5,31.6274229582292,0.211466262988578,110.0,191.20000000000005,213.04999999999998,227.59,229.0
mongo,collection collect all,exec,49.0,2573.9795918367345,2494.0,483.5016584681966,0.18784207147624685,1811.0,3242.6000000000004,3532.2,3690.24,3744.0
neo4j,collection collect all,exec,49.0,8271.163265306122,8107.0,1149.4004115722464,0.13896478339310187,6430.0,10047.800000000001,10337.8,10626.32,10706.0
postgres,collection collect all,exec,47.0,828.5744680851063,804.0,123.5619444511891,0.1491259376320748,668.0,994.8,1051.2999999999997,1132.32,1136.0
mongo,collection collect all,total,47.0,2929.7872340425533,2840.0,511.0013160950555,0.17441584499976476,2067.0,3614.4,3834.6,4118.58,4223.0
