driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.4949342031311448,1.157762101790764e-139
mongo,build,depth,0.28747059404936987,3.68332815689335e-44
mongo,build,filter_count,-0.1380913195076378,4.534884086104388e-11
mongo,exec,collection_size,0.8627133525905853,0.0
mongo,exec,depth,-0.04480655992475769,0.03198921712103897
mongo,exec,filter_count,-0.053104051647052855,0.0110157194075925
mongo,total,collection_size,0.86222562295269,0.0
mongo,total,depth,-0.02101339554928171,0.31483146005081375
mongo,total,filter_count,-0.07679301173273338,0.00023481717058277855
neo4j,build,collection_size,0.20943111245069054,6.800167639004653e-23
neo4j,build,depth,-0.35937256608157825,4.9752996069830564e-67
neo4j,build,filter_count,0.2869712727321705,2.451992876614569e-42
neo4j,exec,collection_size,0.6462779352604895,9.847643798369612e-269
neo4j,exec,depth,-0.0011959588167808888,0.9545754083448854
neo4j,exec,filter_count,0.08221604611379987,8.763806319674919e-05
neo4j,total,collection_size,0.6468474253817625,2.3413532488627534e-269
neo4j,total,depth,-0.002681791272245324,0.8983621268661256
neo4j,total,filter_count,0.08358960978283514,6.656199595288417e-05
postgres,build,collection_size,-0.053945488046158833,0.010505487332388538
postgres,build,depth,-0.10512031616977778,5.845207579977196e-07
postgres,build,filter_count,0.008965283708834846,0.6708815783344041
postgres,exec,collection_size,0.7186454621627855,0.0
postgres,exec,depth,0.1740070469198015,6.430584228794238e-17
postgres,exec,filter_count,0.02919133038575776,0.16405482135468935
postgres,total,collection_size,0.7110274738285516,0.0
postgres,total,depth,0.15500686760657006,1.0645785976088786e-13
postgres,total,filter_count,0.026903631560801937,0.19967918814049773
