driver,phase,parameter,spearman_rho,p_value
mongo,build,collection_size,0.4547941249041676,1.5788029674980157e-115
mongo,build,depth,0.2616613546819466,1.2799365158093182e-36
mongo,build,filter_count,-0.14068230639060544,1.9429054928571534e-11
mongo,exec,collection_size,0.8626599241833267,0.0
mongo,exec,depth,-0.05945843514471908,0.00444925771972591
mongo,exec,filter_count,-0.04078618338912351,0.05114680348568134
neo4j,build,collection_size,0.7048257023857141,0.0
neo4j,build,depth,-0.017197213464397898,0.41435780114040455
neo4j,build,filter_count,0.0746426285799414,0.00038886622518890596
neo4j,exec,collection_size,0.6442447115031508,1.4487449136418834e-267
neo4j,exec,depth,-0.030783963604415772,0.14170907170469757
neo4j,exec,filter_count,0.09456327887906431,6.097015858789268e-06
postgres,build,collection_size,-0.23967564992806809,4.087259676099661e-30
postgres,build,depth,-0.31618663255849344,2.8542176774131495e-52
postgres,build,filter_count,0.09189005827016437,1.583709389277243e-05
postgres,exec,collection_size,0.7054859112421868,0.0
postgres,exec,depth,0.15403203172742022,1.539561667987875e-13
postgres,exec,filter_count,0.005277378122318186,0.8014526278513772
