driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,collection collect 1 filter,build,145.0,65.28965517241379,66.0,14.504270080728386,0.22215265255155975,39.0,85.0,88.79999999999998,102.68,106.0
neo4j,collection collect 1 filter,build,138.0,2333.268115942029,2317.0,299.1297240708482,0.128202036459954,1729.0,2772.5,2961.55,3046.26,3048.0
postgres,collection collect 1 filter,build,149.0,80.6241610738255,80.0,28.09767627933321,0.3485019367036251,44.0,120.0,134.2,144.0,160.0
mongo,collection collect 1 filter,exec,150.0,2597.6266666666666,2919.5,1504.5427299115681,0.5791989854501423,885.0,4324.3,4625.549999999999,5088.629999999999,5199.0
neo4j,collection collect 1 filter,exec,149.0,4309.181208053691,4273.0,810.0353683777363,0.18797895221110958,3097.0,5330.6,5598.4,6458.560000000006,6960.0
postgres,collection collect 1 filter,exec,143.0,661.6363636363636,686.0,175.84434319753097,0.2657718844700248,404.0,887.8,1002.9000000000004,1106.22,1116.0
mongo,collection collect 2 filter,build,144.0,61.736111111111114,62.5,19.31447014025383,0.31285530935844225,33.0,85.70000000000002,102.54999999999998,105.57,115.0
neo4j,collection collect 2 filter,build,141.0,2168.1631205673757,2124.0,222.24284092964214,0.10250282316004182,1629.0,2479.0,2590.0,2676.2,2735.0
postgres,collection collect 2 filter,build,146.0,79.08904109589041,80.0,24.742235628611816,0.31284025303345675,47.0,114.0,124.5,141.30000000000007,144.0
mongo,collection collect 2 filter,exec,150.0,2653.56,2761.5,1467.7679830547254,0.5531316356346664,935.0,4329.7,4426.9,4714.069999999999,5843.0
neo4j,collection collect 2 filter,exec,148.0,4098.97972972973,4281.5,837.3096816517062,0.2042727061026269,2855.0,5204.9,5291.650000000001,5807.2300000000005,6074.0
postgres,collection collect 2 filter,exec,149.0,679.2348993288591,663.0,227.33013822804125,0.33468559765209716,397.0,1027.4,1194.0,1227.4400000000003,1246.0
mongo,collection collect 3 filter,build,138.0,54.78260869565217,53.5,11.230003562169836,0.2049921285157986,36.0,71.0,77.0,80.63,82.0
neo4j,collection collect 3 filter,build,140.0,2151.692857142857,2121.5,231.9228939229393,0.10778624521294364,1615.0,2476.8,2584.15,2776.22,2848.0
postgres,collection collect 3 filter,build,144.0,71.13888888888889,71.0,16.095697688248375,0.2262573669570252,48.0,92.70000000000002,101.0,112.41999999999996,119.0
mongo,collection collect 3 filter,exec,150.0,2668.3933333333334,2927.0,1471.295990353547,0.5513789784940053,943.0,4360.0,4505.3,4775.58,4811.0
neo4j,collection collect 3 filter,exec,148.0,4065.2162162162163,4136.0,893.5384489406404,0.2198009654139183,2827.0,5237.500000000001,5519.950000000001,5982.1,6062.0
postgres,collection collect 3 filter,exec,136.0,623.8235294117648,627.5,156.42453546076987,0.25075125910731616,380.0,823.5,957.0,1046.2,1052.0
mongo,collection collect all,build,44.0,280.52272727272725,280.0,26.259428992147896,0.09360891806323483,226.0,309.80000000000007,338.90000000000003,345.14,346.0
neo4j,collection collect all,build,49.0,3507.061224489796,3524.0,518.5477882254146,0.1478582080644607,2523.0,4139.8,4262.2,4722.519999999998,4999.0
postgres,collection collect all,build,49.0,123.6734693877551,119.0,29.71558776909158,0.24027455456856228,80.0,167.60000000000002,180.39999999999992,195.64,199.0
mongo,collection collect all,exec,49.0,2165.714285714286,2104.0,352.07841219440496,0.1625691876887094,1527.0,2613.0000000000005,2780.7999999999997,2900.879999999999,2982.0
neo4j,collection collect all,exec,49.0,6895.2040816326535,6676.0,833.0595211726029,0.12081723924483903,5514.0,7990.000000000001,8546.799999999997,8784.84,8817.0
postgres,collection collect all,exec,50.0,779.5,766.0,116.46463069997532,0.1494094043617387,590.0,943.0,997.3499999999998,1027.02,1028.0
mongo,connection collect all,build,46.0,1440.0,1442.5,148.31393131537652,0.10299578563567814,1106.0,1605.5,1686.0,1705.0,1714.0
neo4j,connection collect all,build,48.0,1691.4375,1704.0,224.28305693399932,0.1325990803290097,1244.0,1965.3000000000002,2119.5,2166.7200000000003,2178.0
postgres,connection collect all,build,49.0,86.42857142857143,84.0,13.570801990548189,0.1570175436922931,61.0,104.0,112.79999999999998,115.03999999999999,116.0
mongo,connection collect all,exec,45.0,2386.0,2409.0,224.54641148121453,0.09410997966521983,1800.0,2667.8,2737.7999999999997,2784.2,2793.0
neo4j,connection collect all,exec,49.0,2499.0204081632655,2479.0,313.38817049812724,0.12540440625231303,1970.0,2899.6,3133.799999999999,3278.0,3278.0
postgres,connection collect all,exec,50.0,1026.48,973.0,187.9382486513122,0.18309002479474729,745.0,1318.3,1371.55,1412.7599999999998,1450.0
mongo,connection filter near node and edge,build,150.0,11288.953333333333,11036.0,10445.664328622857,0.9252996287777661,562.0,22102.1,22990.34999999999,24445.579999999998,24944.0
neo4j,connection filter near node and edge,build,150.0,16365.306666666667,15314.5,14963.104727961883,0.9143186273703731,1177.0,33219.9,34274.399999999994,36530.06,39542.0
postgres,connection filter near node and edge,build,146.0,71.34931506849315,68.0,11.710645004618028,0.16413114818798424,55.0,91.0,95.0,99.0,101.0
mongo,connection filter near node and edge,exec,150.0,42763.32666666667,41523.0,40779.33737122511,0.9536053565030982,1791.0,89196.2,91570.5,99215.46999999997,100932.0
neo4j,connection filter near node and edge,exec,150.0,17124.97333333333,16127.0,14882.32755166304,0.8690423781679685,1799.0,33774.299999999996,34882.049999999996,37227.27,40149.0
postgres,connection filter near node and edge,exec,150.0,5764.22,5622.0,4978.2299984751735,0.8636433027322298,627.0,11078.699999999999,11439.15,12337.679999999991,14643.0
mongo,connection filter on edge property,build,150.0,13047.746666666666,12569.5,12036.98811476479,0.9225338613843507,796.0,25548.6,26262.55,28622.51,30448.0
neo4j,connection filter on edge property,build,150.0,16272.92,14895.5,14861.039545833219,0.9132374242504245,1183.0,31930.6,33124.1,35344.61,37534.0
postgres,connection filter on edge property,build,147.0,74.70748299319727,67.0,17.210705048858934,0.2303745804208945,57.0,99.4,105.69999999999999,116.07999999999998,131.0
mongo,connection filter on edge property,exec,150.0,50184.95333333333,46268.0,48135.666025124985,0.9591653040982866,1900.0,103052.9,103969.59999999999,112441.01999999999,117691.0
neo4j,connection filter on edge property,exec,150.0,17046.013333333332,15662.5,14830.137967465078,0.8700062400200562,1808.0,32584.5,33903.74999999999,36129.82,38202.0
postgres,connection filter on edge property,exec,150.0,6704.24,7059.5,5863.592950658044,0.8746096426527159,681.0,12786.5,13077.349999999999,13782.979999999996,16417.0
mongo,connection filter on far node,build,150.0,1088.1866666666667,964.0,853.894908789876,0.7846952503153957,203.0,2067.4,2187.65,2476.1299999999983,2917.0
neo4j,connection filter on far node,build,145.0,609.0206896551724,581.0,112.39949022259331,0.18455775334370647,452.0,784.0,831.7999999999998,889.5600000000002,941.0
postgres,connection filter on far node,build,148.0,71.8445945945946,66.0,19.00902500938219,0.26458531941959595,52.0,92.30000000000001,111.0,126.0,131.0
mongo,connection filter on far node,exec,150.0,40944.60666666667,39942.0,39305.10787218693,0.959958125673864,1465.0,83771.6,86086.95,91226.27999999997,93061.0
neo4j,connection filter on far node,exec,145.0,1318.3724137931035,1295.0,183.2121927357724,0.13896846658726011,1020.0,1571.1999999999998,1666.1999999999996,1779.3200000000002,1799.0
postgres,connection filter on far node,exec,150.0,563.92,531.0,117.98586651792908,0.20922447602129574,410.0,728.1,746.55,810.1999999999998,866.0
mongo,deep schema shallow query 2 hop,build,148.0,2290.4189189189187,147.5,2389.7414342628863,1.0433643446286447,64.0,5052.9000000000015,6374.75,7549.42,7756.0
