driver,phase,model_type,n_rows,n_query_shapes,in_sample_r2,kfold_r2_mean,kfold_r2_std,group_kfold_r2_mean,group_kfold_r2_std
mongo,build,linear,144020,59,0.10194610445018248,0.10189279499316366,0.001375956777093075,-17.55806505144951,16.389874128141702
mongo,build,forest,144020,59,0.34347776573399014,0.34191308446692614,0.006856663676341496,-27.396229444045513,37.868603007591744
mongo,exec,linear,148561,59,0.34755405103113846,0.34745703269207145,0.0017132695163131894,0.10796771361552612,0.259704145252737
mongo,exec,forest,148561,59,0.5421246868991672,0.5418021338514947,0.004462277443780183,-0.7227457579160511,1.4599930044600373
mongo,total,linear,148570,59,0.2381035136638422,0.2378932793502222,0.001660164294340092,-0.6095712002293315,0.7231240492988444
mongo,total,forest,148570,59,0.42631882983649705,0.4265729717997499,0.005859227013990834,-3.2397089277674644,3.561490204564997
neo4j,build,linear,140778,59,0.3513534200901566,0.3512645840641025,0.00429634177307658,0.1806906563928637,0.20097552927340323
neo4j,build,forest,140778,59,0.7942065679514249,0.7938757083026503,0.0015709124588208776,0.4324982383570509,0.23423291077488478
neo4j,exec,linear,148873,59,0.5749147917752874,0.5748383951733913,0.0019287105141783945,0.5365076070807172,0.07087859783677873
neo4j,exec,forest,148873,59,0.9121947887443528,0.908830989960481,0.007201777667549539,0.5544135329444422,0.2521856600236107
neo4j,total,linear,148863,59,0.5743028020105958,0.5742365647618225,0.0021175200775886993,0.5419668864207343,0.07557453991596702
neo4j,total,forest,148863,59,0.9119585912391405,0.9105017222120042,0.0034298577731852703,0.5538575762692649,0.26442976822886943
postgres,build,linear,140527,59,0.38357975861028615,0.3834715252064562,0.003010024357929438,0.2275521160865619,0.15251798541867925
postgres,build,forest,140527,59,0.587234026257432,0.5869237786373155,0.0035060606539634867,0.055510403233548146,0.15586632352184393
postgres,exec,linear,148787,59,0.7178643591137799,0.7177640103911287,0.0020431729182686545,0.6896850920199142,0.05973460845044261
postgres,exec,forest,148787,59,0.9646828584507894,0.9646465591593646,0.0009869625727556707,0.8825838435731723,0.049437200300402176
postgres,total,linear,148840,59,0.7169282526875549,0.7168860459224599,0.0023336230383414623,0.6996231084415075,0.05953507817576214
postgres,total,forest,148840,59,0.9637189644783897,0.9636899028991571,0.000990520471731654,0.8832240766013507,0.04742310877877944
